listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57778.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/57778/images/312723/gallery_media.jpeg,,S+2 en vente,"Nabeul, Cite wafa nabeul - Nabeul AFH",3 pièces,105 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/nabeul/57129.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/57129/images/308183/gallery_media.jpeg,,Villa en bande en vente,"Nabeul, Afh Nabeul - Nabeul AFH",2 pièces,200 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/57915.html,https://cdn-media.medialabtc.it/tn/agencies/naha2/estates/57915/images/339351/gallery_media.jpeg,,S+2 en vente,"Hammamet, Avenue omar khayem - Hammamet Nord",2 pièces,120 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/hammamet/55911.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain agricole en vente,"Hammamet, Rue mrezga - Hammamet Nord",354 m²,354 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/hammamet/56906.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain agricole en vente,"Hammamet, Mrezga, Rue gharnata - Hammamet Nord",225 m²,225 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/59059.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+3 en vente,"Kélibia, s+3 sidi ben aissa",156 m²,156 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/62435.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+2 en vente,Nabeul - Nabeul Centre-Ville,3 pièces,110 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/nabeul/62650.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa jumelée en vente,Nabeul - Nabeul Centre-Ville,204 m²,204 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/nabeul/63419.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain agricole en vente,Nabeul - Nabeul Centre-Ville,2500 m²,2500 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/59911.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Penthouse en vente,"Kélibia, Rue sakiet sidi youssef",3 pièces,156 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/62109.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Kélibia, Ain grenz",1163 m²,1163 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/61827.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Kélibia, Rue Tagdimen",613 m²,613 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/60421.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+3 en vente,"Kélibia, Jinene Mansoura",156 m²,156 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/56599.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Kélibia, Cité Erriadh",164 m²,164 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/58545.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Kélibia, Cité mamounia",800 m²,800 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/kelibia/55599.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/55599/images/365259/gallery_media.jpeg,535 000 DT,Villa inachevée en vente,"Kélibia, Rue de Tripoli",400 m²,400 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/50479.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/50479/images/365217/gallery_media.jpeg,510 000 DT,Terrain habitation ind. en vente,"Kélibia, Av de lenvironment",417 m²,417 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/55545.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/55545/images/357000/gallery_media.jpeg,285 000 DT,Terrain habitation ind. en vente,"Kélibia, Av de la ligne arabe",257 m²,257 m²
