listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/appartement/kairouan/kairouan/57819.html,https://cdn-media.medialabtc.it/tn/agencies/kair1/estates/57819/images/328176/gallery_media.jpeg,,S+2 en vente,"Kairouan, Cité manar kairouan",2 pièces,113 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/56699.html,https://cdn-media.medialabtc.it/tn/agencies/kair1/estates/56699/images/303676/gallery_media.jpeg,,Villa individuelle en vente,"Kairouan, Rue Ibn Zeydoun, Mansoura",500 m²,500 m²
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/60879.html,https://cdn-media.medialabtc.it/tn/agencies/kair1/estates/60879/images/341731/gallery_media.jpeg,,Terrain habitation collective en vente,"Kairouan, Racada Kairouan",770 m²,770 m²
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/60526.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Kairouan, Rue el Manar 2",343 m²,343 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/58011.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa inachevée en vente,"Kairouan, Rue Kairouan",4 pièces,300 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/58253.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa jumelée en vente,"Kairouan, Rue khmais alouini centre ville kairouan",495 m²,495 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/59808.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa individuelle en vente,"Kairouan, Avenu Jamel Abdnnasser ""GARDERIE EZOUHOUR""",324 m²,324 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/58285.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa jumelée en vente,"Kairouan, Rue El Omrania",167 m²,167 m²
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/58008.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Kairouan, Rue Fretown , Cité Manar",447 m²,447 m²
https://www.tecnocasa.tn/vendre/villa/kairouan/kairouan/55826.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa jumelée en vente,"Kairouan, Rue freetown",5 pièces,280 m²
https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/55493.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Kairouan, Rue haffouz cité arousi [5], 3100 KAIROUAN (ka)",572 m²,572 m²
