listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/57054.html,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/57054/images/363496/gallery_media.jpeg,,Terrain habitation ind. en vente,Bekalta,189 m²,189 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/63375.html,https://cdn-media.medialabtc.it/tn/agencies/moca5/estates/63375/images/363814/gallery_media.jpeg,,Maison jumelée en vente,Ksar Hellal,60 m²,60 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/63159.html,https://cdn-media.medialabtc.it/tn/agencies/moca5/estates/63159/images/361683/gallery_media.jpeg,,Maison jumelée en vente,Ksar Hellal,200 m²,200 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/63164.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation collective en vente,Ksar Hellal,299 m²,299 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/63743.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Maison jumelée en vente,Ksar Hellal,120 m²,120 m²
https://www.tecnocasa.tn/vendre/villa/monastir/monastir/62899.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa individuelle en vente,"Monastir, Zone touristique - Zone Touristique Monastir",3 pièces,120 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/62851.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,Ksar Hellal,366 m²,366 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61915.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Duplex en vente,Monastir - Monastir Centre-Ville,70 m²,70 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/63698.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+1 en vente,"Monastir, Rue skanes - Skanes",1 pièce,62 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61674.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+2 en vente,Monastir - Monastir Centre-Ville,3 pièces,92 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/63047.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+2 en vente,"Monastir, Rue skanes tbaka 2 - Skanes",3 pièces,80 m²
https://www.tecnocasa.tn/vendre/villa/monastir/monastir/58931.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa jumelée en vente,Monastir - Cité Erriadh,900 m²,900 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/63309.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Sahline, Rue Sahline",135 m²,135 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/63267.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,"Sahline, Rue sahline",380 m²,380 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/63623.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation collective en vente,"Sahline, Rue sahline",320 m²,320 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/63617.html,https://cdn-media.medialabtc.it/tn/agencies/moca5/estates/63617/images/366482/gallery_media.jpeg,550 000 DT,Villa individuelle en vente,Ksar Hellal,508 m²,508 m²
https://www.tecnocasa.tn/vendre/villa/monastir/bekalta/63096.html,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/63096/images/365485/gallery_media.jpeg,780 000 DT,Villa inachevée en vente,Bekalta,1000 m²,1000 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/63320.html,https://cdn-media.medialabtc.it/tn/agencies/moca2/estates/63320/images/364916/gallery_media.jpeg,139 000 DT,S+2 en vente,"Monastir, Im - 7 - Cité El Agba",2 pièces,88 m²
https://www.tecnocasa.tn/vendre/villa/monastir/monastir/60286.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",390 000 DT,Villa jumelée en vente,Monastir - Skanes La Falaise,190 m²,190 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/62890.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",75 000 DT,Villa jumelée en vente,"Sahline, Sidi ameur",280 m²,280 m²
