listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/59143.html,https://cdn-media.medialabtc.it/tn/agencies/ssfx1/estates/59143/images/325752/gallery_media.jpeg,,Terrain habitation ind. en vente,Sfax - Route de Tunis,561 m²,561 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/63418.html,https://cdn-media.medialabtc.it/tn/agencies/ssfx2/estates/63418/images/364351/gallery_media.jpeg,,Terrain habitation ind. en vente,Sfax - Route Manzel Chaker,534 m²,534 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/62859.html,https://cdn-media.medialabtc.it/tn/agencies/ssfx2/estates/62859/images/364778/gallery_media.jpeg,,S+3 en vente,Sfax - Route Soukra,3 pièces,147 m²
https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/56970.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation collective en vente,Sfax - Route de Tunis,920 m²,920 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/60925.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa individuelle en vente,Sfax - Route Lafrane,900 m²,900 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/63066.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+1 en vente,Sfax - Route Teniour,2 pièces,53 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/62480.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Etage de villa en vente,Sfax - Route Manzel Chaker,150 m²,150 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/62888.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+4 en vente,Sfax - Route Teniour,5 pièces,203 m²
https://www.tecnocasa.tn/vendre/appartement/sfax/sfax/63017.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+3 en vente,Sfax - Route Gremda,4 pièces,187 m²
https://www.tecnocasa.tn/vendre/villa/sfax/sfax/62491.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa inachevée en vente,Sfax - Route Manzel Chaker,500 m²,500 m²
