listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-riadh/60974.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/60974/images/344231/gallery_media.jpeg,,S+3 en vente,"Sousse Riadh, Rue Japan - Cité Riadh",3 pièces,115 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sousse-riadh/59417.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/59417/images/344358/gallery_media.jpeg,,Villa individuelle en vente,"Sousse Riadh, Rue Om Salma El Makhzoumi - Cité Riadh",5 pièces,720 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-riadh/58188.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/58188/images/344041/gallery_media.jpeg,,S+3 en vente,"Sousse Riadh, Rue Japan - Cité Riadh",2 pièces,110 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sousse-riadh/60749.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/60749/images/344165/gallery_media.jpeg,,Villa individuelle en vente,"Sousse Riadh, Rue du Zambie - Cité Riadh",97 m²,97 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sousse-riadh/62076.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/62076/images/353441/gallery_media.jpeg,,Villa individuelle en vente,"Sousse Riadh, Rue Ibn Charaf - Cité Riadh",5 pièces,450 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sousse-riadh/62125.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/62125/images/356382/gallery_media.jpeg,,Villa individuelle en vente,"Sousse Riadh, Rue Diamond - Cité Riadh",3 pièces,130 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sousse-riadh/61745.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/61745/images/351176/gallery_media.jpeg,,Villa individuelle en vente,"Sousse Riadh, Rue Oussama ibn essamet - Cité Riadh",4 pièces,94 m²
https://www.tecnocasa.tn/vendre/villa/sousse/el-kantaoui/63518.html,https://cdn-media.medialabtc.it/tn/agencies/ssca2/estates/63518/images/365466/gallery_media.jpeg,,Villa individuelle en vente,"El Kantaoui, Rue du golf",4 pièces,950 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/el-kantaoui/63569.html,https://cdn-media.medialabtc.it/tn/agencies/ssca2/estates/63569/images/367624/gallery_media.jpeg,,S+3 en vente,"El Kantaoui, Boulevard 14 janvier",4 pièces,100 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-riadh/57928.html,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/57928/images/344057/gallery_media.jpeg,,S+2 en vente,"Sousse Riadh, Rue des états-unis - Cité Riadh",3 pièces,70 m²
https://www.tecnocasa.tn/vendre/villa/sousse/hammam-sousse/62898.html,https://cdn-media.medialabtc.it/tn/agencies/sscb3/estates/62898/images/368072/gallery_media.jpeg,,Villa individuelle en vente,Hammam Sousse - El Menchia,5 pièces,2250 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/63763.html,https://cdn-media.medialabtc.it/tn/agencies/ssca5/estates/63763/images/368025/gallery_media.jpeg,,S+3 en vente,Sousse Centre Ville - Cité Hached - Jawhara,4 pièces,135 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sahloul/63568.html,https://cdn-media.medialabtc.it/tn/agencies/sscb1/estates/63568/images/367564/gallery_media.jpeg,,Villa individuelle en vente,Sahloul - Sahloul 1-2,590 m²,590 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/63752.html,https://cdn-media.medialabtc.it/tn/agencies/sscb1/estates/63752/images/367866/gallery_media.jpeg,,S+3 en vente,Sahloul - Sahloul 1-2,3 pièces,123 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/57060.html,https://cdn-media.medialabtc.it/tn/agencies/ssca5/estates/57060/images/312942/gallery_media.jpeg,,S+4 en vente,"Sousse Centre Ville, Rue Mohammed Aroui - Cité Hached - Jawhara",3 pièces,180 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/61948.html,https://cdn-media.medialabtc.it/tn/agencies/sscb3/estates/61948/images/367766/gallery_media.jpeg,380 000 DT,S+3 en vente,"Hammam Sousse, Rue des vagues",3 pièces,187 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/63700.html,https://cdn-media.medialabtc.it/tn/agencies/ssca5/estates/63700/images/367707/gallery_media.jpeg,260 000 DT,S+2 en vente,Sousse Centre Ville - Bouhsina,2 pièces,110 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/62630.html,https://cdn-media.medialabtc.it/tn/agencies/sscb3/estates/62630/images/367728/gallery_media.jpeg,380 000 DT,S+3 en vente,"Hammam Sousse, Rue Farhat Hached",4 pièces,134 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sousse-centre-ville/63702.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",450 000 DT,S+3 en vente,Sousse Centre Ville - Cité Hached - Jawhara,4 pièces,178 m²
https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/63551.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",199 500 DT,Terrain habitation collective en vente,"Hergla, Rue hergla",399 m²,399 m²
https://www.tecnocasa.tn/vendre/villa/sousse/el-kantaoui/46621.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa individuelle en vente,"El Kantaoui, Rue canari",7 pièces,834 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/el-kantaoui/57067.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",580 000 DT,S+2 en vente,"El Kantaoui, Rue Sidi Kantaoui EL KANTAOUI (ss) 4017",3 pièces,139 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/el-kantaoui/60893.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",230 000 DT,Studio en vente,"El Kantaoui, Boulevard 14 janvier kantaoui A",39 m²,39 m²
https://www.tecnocasa.tn/vendre/villa/sousse/el-kantaoui/61599.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 180 000 DT,Villa individuelle en vente,"El Kantaoui, Rue essondos",378 m²,378 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/el-kantaoui/40855.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",514 701 DT,S+2 en vente,"El Kantaoui, Rue Najm Elbahr, Route Touristique Kantaoui",3 pièces,115 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/el-kantaoui/63057.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",538 118 DT,S+3 en vente,"El Kantaoui, Rue Najm Elbahr, Route Touristique Kantaoui",4 pièces,133 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/62924.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",308 500 DT,S+2 en vente,Hammam Sousse - Ghrabi,3 pièces,96 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/62005.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",265 000 DT,S+3 en vente,"Hammam Sousse, Rue Okba ibnou Nafaa",4 pièces,117 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/60282.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",250 000 DT,S+2 en vente,Hammam Sousse,3 pièces,100 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hergla/63366.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",146 000 DT,S+1 en vente,"Hergla, Lotissement Afh Hergla",1 pièce,64 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hergla/63036.html,https://cdn-media.medialabtc.it/tn/agencies/ssgh1/estates/63036/images/366878/gallery_media.jpeg,150 000 DT,S+1 en vente,"Hergla, Afh Hergla Sousse",1 pièce,60 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/61178.html,https://cdn-media.medialabtc.it/tn/agencies/sscb2/estates/61178/images/344921/gallery_media.jpeg,420 000 DT,S+3 en vente,Sahloul - Sahloul 4,4 pièces,160 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/63643.html,https://cdn-media.medialabtc.it/tn/agencies/sscb3/estates/63643/images/366611/gallery_media.jpeg,240 000 DT,S+2 en vente,Hammam Sousse,3 pièces,100 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/hammam-sousse/63633.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",190 000 DT,S+2 en vente,"Hammam Sousse, Rue Okba ibnou nafaa",3 pièces,105 m²
https://www.tecnocasa.tn/vendre/appartement/sousse/sahloul/52119.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",400 000 DT,S+2 en vente,Sahloul - Sahloul 4,2 pièces,118 m²
https://www.tecnocasa.tn/vendre/villa/sousse/sousse-riadh/63211.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",520 000 DT,Villa individuelle en vente,"Sousse Riadh, Rue Amrou ibn el jamouh - Cité Riadh",3 pièces,300 m²
