listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/63674.html,https://cdn-media.medialabtc.it/tn/agencies/tuaa1/estates/63674/images/368759/gallery_media.jpeg,240 000 DT,S+2 en vente,Ariana - Hedi Nouira Ariana,3 pièces,115 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/63675.html,https://cdn-media.medialabtc.it/tn/agencies/tuaa1/estates/63675/images/368756/gallery_media.jpeg,170 000 DT,S+1 en vente,Ariana - Hedi Nouira Ariana,2 pièces,95 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/63777.html,https://cdn-media.medialabtc.it/tn/agencies/tuaa1/estates/63777/images/368725/gallery_media.jpeg,227 000 DT,S+2 en vente,Ariana - Hedi Nouira Ariana,3 pièces,109 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/63207.html,https://cdn-media.medialabtc.it/tn/agencies/tuaa1/estates/63207/images/368667/gallery_media.jpeg,135 000 DT,S+2 en vente,"Ariana, Rue chedly meftah - Hedi Nouira Ariana",3 pièces,68 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-soukra/63782.html,https://cdn-media.medialabtc.it/tn/agencies/tusk3/estates/63782/images/368626/gallery_media.jpeg,592 000 DT,S+2 en vente,La Soukra - Soukra,3 pièces,171 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/manar/62777.html,https://cdn-media.medialabtc.it/tn/agencies/tuch4/estates/62777/images/368622/gallery_media.jpeg,290 000 DT,S+3 en vente,Manar - Manar 1,3 pièces,130 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/62841.html,/img/estate-placeholder.jpg,285 000 DT,S+3 en vente,"Ariana, Résidence emna - Cité El Ghazala",4 pièces,120 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/60610.html,https://cdn-media.medialabtc.it/tn/agencies/tuha2/estates/60610/images/355575/gallery_media.jpeg,305 000 DT,S+2 en vente,Ariana - Riadh Landalous,3 pièces,121 m²
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ezzahra/39305.html,/img/estate-placeholder.jpg,648 000 DT,Villa individuelle en vente,"Ezzahra, Maison individuelle Ezzahra",410 m²,410 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ezzahra/60743.html,https://cdn-media.medialabtc.it/tn/agencies/tuhd3/estates/60743/images/345894/gallery_media.jpeg,360 000 DT,Duplex en vente,"Ezzahra, Duplex Ezzahra",3 pièces,107 m²
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/60042.html,https://cdn-media.medialabtc.it/tn/agencies/tuha9/estates/60042/images/334528/gallery_media.jpeg,1 900 000 DT,Villa jumelée en vente,Ariana - Ariana Ville,502 m²,502 m²
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/59938.html,https://cdn-media.medialabtc.it/tn/agencies/tuha2/estates/59938/images/348866/gallery_media.jpeg,800 000 DT,Villa individuelle en vente,Ariana - Riadh Landalous,3 pièces,540 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/63335.html,https://cdn-media.medialabtc.it/tn/agencies/tuha9/estates/63335/images/364485/gallery_media.jpeg,450 000 DT,S+2 en vente,"Ariana, Rue Errihanne - Ariana Ville",3 pièces,190 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/63053.html,https://cdn-media.medialabtc.it/tn/agencies/tuha9/estates/63053/images/362298/gallery_media.jpeg,190 000 DT,S+2 en vente,Ariana - Ariana Ville,3 pièces,150 m²
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/57438.html,https://cdn-media.medialabtc.it/tn/agencies/tuha2/estates/57438/images/317909/gallery_media.jpeg,1 230 000 DT,Villa jumelée en vente,Ariana - Riadh Landalous,340 m²,340 m²
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/63726.html,https://cdn-media.medialabtc.it/tn/agencies/tuha9/estates/63726/images/368157/gallery_media.jpeg,950 000 DT,Villa individuelle en vente,Ariana - Nouvelle Ariana,500 m²,500 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-mourouj/62062.html,https://cdn-media.medialabtc.it/tn/agencies/tumo1/estates/62062/images/359584/gallery_media.jpeg,265 000 DT,S+3 en vente,El Mourouj - El Mourouj 5,109 m²,109 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-mourouj/60297.html,https://cdn-media.medialabtc.it/tn/agencies/tumo1/estates/60297/images/336361/gallery_media.jpeg,125 000 DT,S+2 en vente,El Mourouj - El Mourouj 5,3 pièces,66 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/63611.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",310 000 DT,S+4 en vente,Ariana - Riadh Landalous,5 pièces,130 m²
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/jardins-de-carthage/61906.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",940 000 DT,S+3 en vente,"Jardins de Carthage, Avenue de carthage - Les Jardins De Carthage",4 pièces,175 m²
