sample_id,source,raw_text,target_price_tnd,price_label_source,clean_text,token_count,char_count,has_price_label
m1_0000001,listings_csv_description,"Appartement disponible à L Aouina, Tunis. Pièces: 1 | Chambres: 0 | SDB: 1 | Prix: 100 TND. Atouts: meuble. Informations déduites automatiquement à partir du titre de l'annonce.",100.0,listings_price_col,appartement disponible à l aouina tunis pièces 1 chambres 0 sdb 1 prix 100 tnd atouts meuble informations déduites automatiquement à partir du titre de l annonce,27,161,True
m1_0000002,listings_csv_description,"Appartement disponible à Sousse, Sousse. Pièces: 2 | Chambres: 2 | SDB: 1 | Prix: 550 TND. Informations déduites automatiquement à partir du titre de l'annonce.",550.0,listings_price_col,appartement disponible à sousse sousse pièces 2 chambres 2 sdb 1 prix 550 tnd informations déduites automatiquement à partir du titre de l annonce,24,146,True
m1_0000003,listings_csv_description,"Appartement à louer à Menzah, Tunis. Pièces: 1 | Chambres: 0 | SDB: 1 | Prix: 80 TND. Atouts: meuble. Informations déduites automatiquement à partir du titre de l'annonce.",80.0,listings_price_col,appartement à louer à menzah tunis pièces 1 chambres 0 sdb 1 prix 80 tnd atouts meuble informations déduites automatiquement à partir du titre de l annonce,27,155,True
m1_0000004,listings_csv_description,"Appartement à louer à Les Jardins El Menzah 2, Ariana. Pièces: 1 | Chambres: 1 | SDB: 1 | Prix: 999999 TND. Atouts: jardin. Informations déduites automatiquement à partir du titre de l'annonce.",999999.0,listings_price_col,appartement à louer à les jardins el menzah 2 ariana pièces 1 chambres 1 sdb 1 prix 999999 tnd atouts jardin informations déduites automatiquement à partir du titre de l annonce,31,177,True
m1_0000005,listings_csv_description,"Appartement à louer à Hammam Lif, Ben Arous. Pièces: 2 | Chambres: 2 | SDB: 1 | Prix: 850 TND. Informations déduites automatiquement à partir du titre de l'annonce.",850.0,listings_price_col,appartement à louer à hammam lif ben arous pièces 2 chambres 2 sdb 1 prix 850 tnd informations déduites automatiquement à partir du titre de l annonce,27,150,True
m1_0000006,listings_csv_description,"Appartement disponible à El Omrane Suprieur, Tunis. Pièces: 1 | Chambres: 0 | SDB: 1 | Prix: 300 TND. Atouts: metro, meuble. Informations déduites automatiquement à partir du titre de l'annonce.",300.0,listings_price_col,appartement disponible à el omrane suprieur tunis pièces 1 chambres 0 sdb 1 prix 300 tnd atouts metro meuble informations déduites automatiquement à partir du titre de l annonce,29,177,True
m1_0000007,listings_csv_description,"Appartement à louer à Jardins De Carthage, Tunis. Pièces: 3 | Chambres: 2 | SDB: 1 | Prix: 2300 TND. Atouts: jardin. Informations déduites automatiquement à partir du titre de l'annonce.",2300.0,listings_price_col,appartement à louer à jardins de carthage tunis pièces 3 chambres 2 sdb 1 prix 2300 tnd atouts jardin informations déduites automatiquement à partir du titre de l annonce,29,170,True
m1_0000008,listings_csv_description,"Appartement à louer à La Marsa, Tunis. Pièces: 4 | Chambres: 3 | SDB: 1 | Prix: 2300 TND. Informations déduites automatiquement à partir du titre de l'annonce.",2300.0,listings_price_col,appartement à louer à la marsa tunis pièces 4 chambres 3 sdb 1 prix 2300 tnd informations déduites automatiquement à partir du titre de l annonce,26,145,True
m1_0000009,listings_csv_description,"Appartement disponible à Tunis, Tunis. Pièces: 2 | Chambres: 2 | SDB: 1 | Prix: 1650 TND. Informations déduites automatiquement à partir du titre de l'annonce.",1650.0,listings_price_col,appartement disponible à tunis tunis pièces 2 chambres 2 sdb 1 prix 1650 tnd informations déduites automatiquement à partir du titre de l annonce,24,145,True
m1_0000010,listings_csv_description,"Appartement disponible à Tunis, Tunis. Pièces: 2 | Chambres: 2 | SDB: 1 | Prix: 450 TND. Atouts: meuble. Informations déduites automatiquement à partir du titre de l'annonce.",450.0,listings_price_col,appartement disponible à tunis tunis pièces 2 chambres 2 sdb 1 prix 450 tnd atouts meuble informations déduites automatiquement à partir du titre de l annonce,26,158,True
m1_0000011,listings_csv_description,"Appartement à louer à L Aouina, Tunis. Pièces: 1 | Chambres: 1 | SDB: 1 | Prix: 930 TND. Informations déduites automatiquement à partir du titre de l'annonce.",930.0,listings_price_col,appartement à louer à l aouina tunis pièces 1 chambres 1 sdb 1 prix 930 tnd informations déduites automatiquement à partir du titre de l annonce,26,144,True
m1_0000012,listings_csv_description,"Appartement à louer à La Soukra, Ariana. Pièces: 1 | Chambres: 1 | SDB: 1 | Prix: 880 TND. Informations déduites automatiquement à partir du titre de l'annonce.",880.0,listings_price_col,appartement à louer à la soukra ariana pièces 1 chambres 1 sdb 1 prix 880 tnd informations déduites automatiquement à partir du titre de l annonce,26,146,True
m1_0000013,listings_csv_description,"Appartement disponible à El Omrane, Tunis. Pièces: 1 | Chambres: 0 | SDB: 1 | Prix: 669 TND. Atouts: meuble. Informations déduites automatiquement à partir du titre de l'annonce.",669.0,listings_price_col,appartement disponible à el omrane tunis pièces 1 chambres 0 sdb 1 prix 669 tnd atouts meuble informations déduites automatiquement à partir du titre de l annonce,27,162,True
m1_0000014,listings_csv_description,"Appartement disponible à Le Bardo, Tunis. Pièces: 6 | Chambres: 5 | SDB: 1 | Prix: 2500 TND. Atouts: metro, meuble. Informations déduites automatiquement à partir du titre de l'annonce.",2500.0,listings_price_col,appartement disponible à le bardo tunis pièces 6 chambres 5 sdb 1 prix 2500 tnd atouts metro meuble informations déduites automatiquement à partir du titre de l annonce,28,168,True
